timestep,set,agent,score
16384,train,0,0.8709677419354839
16384,train,1,0.7777777777777778
16384,train,2,0.775
16384,train,3,0.6097560975609756
425984,train,0,1.15625
425984,train,1,1.6666666666666667
425984,train,2,0.8709677419354839
425984,train,3,1.1764705882352942
851968,train,0,1.7
851968,train,1,1.2142857142857142
851968,train,2,1.09375
851968,train,3,1.8888888888888888
1277952,train,0,2.36
1277952,train,1,1.4444444444444444
1277952,train,2,1.72
1277952,train,3,1.0
1703936,train,0,3.0
1703936,train,1,1.6153846153846154
1703936,train,2,1.48
1703936,train,3,1.21875
2129920,train,0,1.2258064516129032
2129920,train,1,1.9615384615384615
2129920,train,2,1.3571428571428572
2129920,train,3,2.2083333333333335
2539520,train,0,1.56
2539520,train,1,1.5483870967741935
2539520,train,2,1.8214285714285714
2539520,train,3,3.0
2965504,train,0,2.0434782608695654
2965504,train,1,2.107142857142857
2965504,train,2,2.1666666666666665
2965504,train,3,2.9473684210526314
3391488,train,0,1.9230769230769231
3391488,train,1,2.5789473684210527
3391488,train,2,2.0454545454545454
3391488,train,3,2.6363636363636362
3817472,train,0,2.48
3817472,train,1,1.8
3817472,train,2,1.7916666666666667
3817472,train,3,2.75
4243456,train,0,1.3461538461538463
4243456,train,1,2.0714285714285716
4243456,train,2,2.5217391304347827
4243456,train,3,3.0476190476190474
4669440,train,0,2.8947368421052633
4669440,train,1,3.1363636363636362
4669440,train,2,2.2962962962962963
4669440,train,3,1.48
5079040,train,0,1.5
5079040,train,1,1.7307692307692308
5079040,train,2,1.9130434782608696
5079040,train,3,3.0
5505024,train,0,3.0952380952380953
5505024,train,1,1.5925925925925926
5505024,train,2,2.0
5505024,train,3,1.3076923076923077
5931008,train,0,1.9583333333333333
5931008,train,1,2.36
5931008,train,2,2.5416666666666665
5931008,train,3,2.0
6356992,train,0,2.111111111111111
6356992,train,1,2.310344827586207
6356992,train,2,1.3571428571428572
6356992,train,3,2.36
6782976,train,0,4.043478260869565
6782976,train,1,1.9615384615384615
6782976,train,2,2.193548387096774
6782976,train,3,1.9285714285714286
7208960,train,0,2.259259259259259
7208960,train,1,2.2222222222222223
7208960,train,2,3.6315789473684212
7208960,train,3,2.0
7618560,train,0,2.68
7618560,train,1,3.5
7618560,train,2,2.64
7618560,train,3,2.3703703703703702
8044544,train,0,2.7142857142857144
8044544,train,1,2.769230769230769
8044544,train,2,2.4782608695652173
8044544,train,3,3.090909090909091
8470528,train,0,2.074074074074074
8470528,train,1,3.409090909090909
8470528,train,2,3.0
8470528,train,3,3.3684210526315788
8896512,train,0,3.4545454545454546
8896512,train,1,2.0952380952380953
8896512,train,2,3.3157894736842106
8896512,train,3,3.7
9322496,train,0,2.391304347826087
9322496,train,1,3.526315789473684
9322496,train,2,1.6666666666666667
9322496,train,3,2.869565217391304
9748480,train,0,2.0416666666666665
9748480,train,1,1.8387096774193548
9748480,train,2,3.4285714285714284
9748480,train,3,3.15
10158080,train,0,2.5833333333333335
10158080,train,1,4.6
10158080,train,2,3.0
10158080,train,3,2.2
10584064,train,0,3.0833333333333335
10584064,train,1,3.260869565217391
10584064,train,2,3.1578947368421053
10584064,train,3,3.473684210526316
11010048,train,0,3.15
11010048,train,1,2.230769230769231
11010048,train,2,2.9545454545454546
11010048,train,3,3.3636363636363638
11436032,train,0,3.1363636363636362
11436032,train,1,2.9565217391304346
11436032,train,2,6.615384615384615
11436032,train,3,4.052631578947368
11862016,train,0,2.608695652173913
11862016,train,1,4.4375
11862016,train,2,3.65
11862016,train,3,5.117647058823529
12288000,train,0,3.227272727272727
12288000,train,1,6.4
12288000,train,2,2.8823529411764706
12288000,train,3,3.8
12697600,train,0,2.2
12697600,train,1,3.473684210526316
12697600,train,2,4.352941176470588
12697600,train,3,3.9
13123584,train,0,2.6666666666666665
13123584,train,1,4.25
13123584,train,2,4.529411764705882
13123584,train,3,3.789473684210526
13549568,train,0,3.3636363636363638
13549568,train,1,3.6666666666666665
13549568,train,2,2.409090909090909
13549568,train,3,2.5
13975552,train,0,3.8636363636363638
13975552,train,1,2.2758620689655173
13975552,train,2,4.0
13975552,train,3,3.380952380952381
14401536,train,0,3.3529411764705883
14401536,train,1,3.2
14401536,train,2,3.5555555555555554
14401536,train,3,3.090909090909091
14827520,train,0,4.0
14827520,train,1,3.0416666666666665
14827520,train,2,3.4444444444444446
14827520,train,3,3.2
15237120,train,0,3.4761904761904763
15237120,train,1,2.1923076923076925
15237120,train,2,3.3333333333333335
15237120,train,3,1.9230769230769231
15663104,train,0,3.272727272727273
15663104,train,1,3.4444444444444446
15663104,train,2,2.875
15663104,train,3,2.4761904761904763
16089088,train,0,4.1875
16089088,train,1,4.277777777777778
16089088,train,2,4.411764705882353
16089088,train,3,3.6666666666666665
16515072,train,0,10.0
16515072,train,1,5.375
16515072,train,2,2.75
16515072,train,3,3.4705882352941178
16941056,train,0,3.5789473684210527
16941056,train,1,4.05
16941056,train,2,3.473684210526316
16941056,train,3,4.473684210526316
17367040,train,0,4.35
17367040,train,1,2.6956521739130435
17367040,train,2,4.5
17367040,train,3,2.8421052631578947
17776640,train,0,2.4285714285714284
17776640,train,1,2.7083333333333335
17776640,train,2,3.3043478260869565
17776640,train,3,3.0
18202624,train,0,3.090909090909091
18202624,train,1,3.6
18202624,train,2,5.266666666666667
18202624,train,3,5.5
18628608,train,0,4.368421052631579
18628608,train,1,3.6363636363636362
18628608,train,2,4.5625
18628608,train,3,4.318181818181818
19054592,train,0,4.315789473684211
19054592,train,1,3.9411764705882355
19054592,train,2,3.608695652173913
19054592,train,3,5.055555555555555
19480576,train,0,3.65
19480576,train,1,2.857142857142857
19480576,train,2,2.8461538461538463
19480576,train,3,5.294117647058823
19906560,train,0,7.538461538461538
19906560,train,1,4.333333333333333
19906560,train,2,2.4
19906560,train,3,2.7916666666666665
20316160,train,0,5.5
20316160,train,1,4.411764705882353
20316160,train,2,3.4210526315789473
20316160,train,3,6.076923076923077
20742144,train,0,3.9473684210526314
20742144,train,1,3.7142857142857144
20742144,train,2,7.6923076923076925
20742144,train,3,3.0
21168128,train,0,4.2
21168128,train,1,2.9047619047619047
21168128,train,2,2.6153846153846154
21168128,train,3,3.3636363636363638
21594112,train,0,9.1
21594112,train,1,3.0625
21594112,train,2,5.705882352941177
21594112,train,3,2.72
22020096,train,0,3.4705882352941178
22020096,train,1,3.473684210526316
22020096,train,2,5.875
22020096,train,3,3.823529411764706
22446080,train,0,4.7272727272727275
22446080,train,1,4.75
22446080,train,2,5.176470588235294
22446080,train,3,4.636363636363637
22855680,train,0,5.461538461538462
22855680,train,1,3.1052631578947367
22855680,train,2,4.111111111111111
22855680,train,3,4.588235294117647
23281664,train,0,2.409090909090909
23281664,train,1,4.75
23281664,train,2,5.352941176470588
23281664,train,3,6.5
23707648,train,0,2.9545454545454546
23707648,train,1,3.736842105263158
23707648,train,2,4.7
23707648,train,3,5.466666666666667
24133632,train,0,5.388888888888889
24133632,train,1,10.416666666666666
24133632,train,2,2.8333333333333335
24133632,train,3,4.8
24559616,train,0,6.214285714285714
24559616,train,1,3.5714285714285716
24559616,train,2,3.1904761904761907
24559616,train,3,3.888888888888889
24985600,train,0,5.125
24985600,train,1,2.619047619047619
24985600,train,2,6.214285714285714
24985600,train,3,7.6923076923076925
16384,test,0,0.9705882352941176
16384,test,1,0.8484848484848485
16384,test,2,0.9705882352941176
16384,test,3,0.6666666666666666
425984,test,0,0.8285714285714286
425984,test,1,1.088235294117647
425984,test,2,0.7368421052631579
425984,test,3,1.2
851968,test,0,0.9310344827586207
851968,test,1,0.75
851968,test,2,0.9375
851968,test,3,1.8695652173913044
1277952,test,0,0.8857142857142857
1277952,test,1,1.0
1277952,test,2,1.0588235294117647
1277952,test,3,1.6
1703936,test,0,1.4375
1703936,test,1,1.1428571428571428
1703936,test,2,0.8064516129032258
1703936,test,3,1.2083333333333333
2129920,test,0,1.0625
2129920,test,1,1.6785714285714286
2129920,test,2,1.2647058823529411
2129920,test,3,1.0555555555555556
2539520,test,0,1.1935483870967742
2539520,test,1,1.1785714285714286
2539520,test,2,1.0
2539520,test,3,1.7391304347826086
2965504,test,0,1.2
2965504,test,1,1.2903225806451613
2965504,test,2,1.3478260869565217
2965504,test,3,1.1470588235294117
3391488,test,0,0.7567567567567568
3391488,test,1,1.3461538461538463
3391488,test,2,1.3478260869565217
3391488,test,3,1.8636363636363635
3817472,test,0,1.4583333333333333
3817472,test,1,1.434782608695652
3817472,test,2,1.0769230769230769
3817472,test,3,0.8055555555555556
4243456,test,0,1.0294117647058822
4243456,test,1,1.1333333333333333
4243456,test,2,1.1666666666666667
4243456,test,3,1.0294117647058822
4669440,test,0,0.6578947368421053
4669440,test,1,1.9523809523809523
4669440,test,2,1.1379310344827587
4669440,test,3,1.1379310344827587
5079040,test,0,1.088235294117647
5079040,test,1,0.5813953488372093
5079040,test,2,1.2
5079040,test,3,1.4482758620689655
5505024,test,0,1.565217391304348
5505024,test,1,0.7368421052631579
5505024,test,2,2.0416666666666665
5505024,test,3,1.0555555555555556
5931008,test,0,0.7804878048780488
5931008,test,1,1.2962962962962963
5931008,test,2,0.8333333333333334
5931008,test,3,1.1818181818181819
6356992,test,0,1.0285714285714285
6356992,test,1,0.5319148936170213
6356992,test,2,0.9722222222222222
6356992,test,3,1.0769230769230769
6782976,test,0,1.0285714285714285
6782976,test,1,0.972972972972973
6782976,test,2,1.2285714285714286
6782976,test,3,1.5
7208960,test,0,1.28125
7208960,test,1,0.7777777777777778
7208960,test,2,0.7647058823529411
7208960,test,3,0.8285714285714286
7618560,test,0,1.0810810810810811
7618560,test,1,1.0833333333333333
7618560,test,2,1.0555555555555556
7618560,test,3,1.0909090909090908
8044544,test,0,1.4333333333333333
8044544,test,1,0.972972972972973
8044544,test,2,1.875
8044544,test,3,1.303030303030303
8470528,test,0,0.6341463414634146
8470528,test,1,1.2727272727272727
8470528,test,2,1.8181818181818181
8470528,test,3,1.0263157894736843
8896512,test,0,1.0588235294117647
8896512,test,1,0.90625
8896512,test,2,1.3243243243243243
8896512,test,3,1.3870967741935485
9322496,test,0,0.6
9322496,test,1,1.4090909090909092
9322496,test,2,1.2142857142857142
9322496,test,3,0.9166666666666666
9748480,test,0,1.7037037037037037
9748480,test,1,0.9166666666666666
9748480,test,2,1.625
9748480,test,3,1.1764705882352942
10158080,test,0,0.7872340425531915
10158080,test,1,1.0857142857142856
10158080,test,2,0.9772727272727273
10158080,test,3,0.75
10584064,test,0,1.59375
10584064,test,1,0.8974358974358975
10584064,test,2,1.064516129032258
10584064,test,3,1.6666666666666667
11010048,test,0,1.46875
11010048,test,1,1.4242424242424243
11010048,test,2,1.2941176470588236
11010048,test,3,0.9024390243902439
11436032,test,0,1.0
11436032,test,1,1.1081081081081081
11436032,test,2,0.7777777777777778
11436032,test,3,1.2758620689655173
11862016,test,0,1.9259259259259258
11862016,test,1,1.0
11862016,test,2,0.8918918918918919
11862016,test,3,1.1818181818181819
12288000,test,0,0.9230769230769231
12288000,test,1,1.0256410256410255
12288000,test,2,1.3548387096774193
12288000,test,3,1.4722222222222223
12697600,test,0,1.5
12697600,test,1,1.1515151515151516
12697600,test,2,1.3548387096774193
12697600,test,3,1.1935483870967742
13123584,test,0,1.4814814814814814
13123584,test,1,1.0
13123584,test,2,1.4375
13123584,test,3,0.8260869565217391
13549568,test,0,1.0606060606060606
13549568,test,1,1.368421052631579
13549568,test,2,1.1724137931034482
13549568,test,3,0.7073170731707317
13975552,test,0,1.2857142857142858
13975552,test,1,1.6
13975552,test,2,1.393939393939394
13975552,test,3,0.925
14401536,test,0,0.9411764705882353
14401536,test,1,1.3928571428571428
14401536,test,2,1.0
14401536,test,3,1.5757575757575757
14827520,test,0,1.3793103448275863
14827520,test,1,1.0810810810810811
14827520,test,2,1.4545454545454546
14827520,test,3,0.6136363636363636
15237120,test,0,1.6206896551724137
15237120,test,1,1.8076923076923077
15237120,test,2,1.4642857142857142
15237120,test,3,1.3636363636363635
15663104,test,0,1.1428571428571428
15663104,test,1,0.9024390243902439
15663104,test,2,1.3793103448275863
15663104,test,3,1.3548387096774193
16089088,test,0,3.037037037037037
16089088,test,1,2.409090909090909
16089088,test,2,0.9714285714285714
16089088,test,3,1.5517241379310345
16515072,test,0,2.0
16515072,test,1,1.1388888888888888
16515072,test,2,1.6071428571428572
16515072,test,3,1.025
16941056,test,0,1.3870967741935485
16941056,test,1,1.1818181818181819
16941056,test,2,0.8536585365853658
16941056,test,3,1.5185185185185186
17367040,test,0,0.9130434782608695
17367040,test,1,1.3666666666666667
17367040,test,2,1.2285714285714286
17367040,test,3,1.6785714285714286
17776640,test,0,1.0909090909090908
17776640,test,1,1.0810810810810811
17776640,test,2,1.6666666666666667
17776640,test,3,1.9583333333333333
18202624,test,0,2.3636363636363638
18202624,test,1,1.1818181818181819
18202624,test,2,2.0
18202624,test,3,1.2903225806451613
18628608,test,0,1.1219512195121952
18628608,test,1,0.9705882352941176
18628608,test,2,1.1515151515151516
18628608,test,3,1.0789473684210527
19054592,test,0,1.5862068965517242
19054592,test,1,1.1714285714285715
19054592,test,2,1.0
19054592,test,3,1.1111111111111112
19480576,test,0,1.5333333333333334
19480576,test,1,1.65625
19480576,test,2,1.5517241379310345
19480576,test,3,0.8043478260869565
19906560,test,0,1.5
19906560,test,1,1.3703703703703705
19906560,test,2,1.6206896551724137
19906560,test,3,1.2258064516129032
20316160,test,0,1.5625
20316160,test,1,3.8421052631578947
20316160,test,2,1.5294117647058822
20316160,test,3,1.3421052631578947
20742144,test,0,1.5
20742144,test,1,1.0232558139534884
20742144,test,2,1.8529411764705883
20742144,test,3,1.0789473684210527
21168128,test,0,0.7692307692307693
21168128,test,1,1.4827586206896552
21168128,test,2,1.4054054054054055
21168128,test,3,1.2571428571428571
21594112,test,0,1.2727272727272727
21594112,test,1,1.1515151515151516
21594112,test,2,1.76
21594112,test,3,1.3
22020096,test,0,1.1363636363636365
22020096,test,1,1.5454545454545454
22020096,test,2,1.105263157894737
