timestep,set,agent,score
16384,train,0,5.0
16384,train,1,5.555555555555555
16384,train,2,2.857142857142857
16384,train,3,0.9090909090909091
425984,train,0,6.896551724137931
425984,train,1,7.192982456140351
425984,train,2,5.74468085106383
425984,train,3,6.730769230769231
851968,train,0,6.222222222222222
851968,train,1,7.9411764705882355
851968,train,2,7.213114754098361
851968,train,3,6.410256410256411
1277952,train,0,8.36734693877551
1277952,train,1,7.6923076923076925
1277952,train,2,8.16326530612245
1277952,train,3,8.461538461538462
1703936,train,0,9.2
1703936,train,1,9.152542372881356
1703936,train,2,7.346938775510204
1703936,train,3,8.095238095238095
2129920,train,0,7.5
2129920,train,1,9.245283018867925
2129920,train,2,8.333333333333334
2129920,train,3,8.292682926829269
2539520,train,0,8.863636363636363
2539520,train,1,8.936170212765957
2539520,train,2,8.636363636363637
2539520,train,3,8.88888888888889
2965504,train,0,9.166666666666666
2965504,train,1,8.478260869565217
2965504,train,2,8.846153846153847
2965504,train,3,8.91304347826087
3391488,train,0,9.333333333333334
3391488,train,1,8.75
3391488,train,2,8.78048780487805
3391488,train,3,8.688524590163935
3817472,train,0,8.409090909090908
3817472,train,1,8.421052631578947
3817472,train,2,8.378378378378379
3817472,train,3,9.508196721311476
4243456,train,0,8.823529411764707
4243456,train,1,8.75
4243456,train,2,8.979591836734693
4243456,train,3,8.333333333333334
4669440,train,0,9.090909090909092
4669440,train,1,7.878787878787879
4669440,train,2,7.931034482758621
4669440,train,3,8.409090909090908
5079040,train,0,8.666666666666666
5079040,train,1,8.536585365853659
5079040,train,2,9.2
5079040,train,3,8.717948717948717
5505024,train,0,7.5
5505024,train,1,8.947368421052632
5505024,train,2,8.214285714285714
5505024,train,3,9.310344827586206
5931008,train,0,8.484848484848484
5931008,train,1,8.478260869565217
5931008,train,2,9.347826086956522
5931008,train,3,9.743589743589743
6356992,train,0,9.473684210526315
6356992,train,1,9.696969696969697
6356992,train,2,8.88888888888889
6356992,train,3,8.8
