timestep,set,agent,score
16384,train,0,1.1111111111111112
16384,train,1,2.8
16384,train,2,1.2195121951219512
16384,train,3,2.6666666666666665
425984,train,0,2.727272727272727
425984,train,1,2.9411764705882355
425984,train,2,3.8636363636363638
425984,train,3,2.9411764705882355
851968,train,0,3.4
851968,train,1,4.0
851968,train,2,2.6923076923076925
851968,train,3,2.535211267605634
1277952,train,0,3.6666666666666665
1277952,train,1,3.1481481481481484
1277952,train,2,3.207547169811321
1277952,train,3,3.3333333333333335
1703936,train,0,3.0
1703936,train,1,2.272727272727273
1703936,train,2,3.492063492063492
1703936,train,3,2.5
2129920,train,0,2.5396825396825395
2129920,train,1,3.9583333333333335
2129920,train,2,3.4482758620689653
2129920,train,3,3.3333333333333335
2539520,train,0,1.6216216216216217
2539520,train,1,3.4210526315789473
2539520,train,2,3.4482758620689653
2539520,train,3,1.7647058823529411
2965504,train,0,3.658536585365854
2965504,train,1,4.482758620689655
2965504,train,2,2.142857142857143
2965504,train,3,2.4242424242424243
3391488,train,0,2.6666666666666665
3391488,train,1,2.5
3391488,train,2,3.125
3391488,train,3,3.823529411764706
3817472,train,0,3.1818181818181817
3817472,train,1,2.5
3817472,train,2,2.0689655172413794
3817472,train,3,2.8947368421052633
4243456,train,0,2.6666666666666665
4243456,train,1,2.0
4243456,train,2,2.1875
4243456,train,3,2.903225806451613
4669440,train,0,3.3333333333333335
4669440,train,1,3.3333333333333335
4669440,train,2,1.6666666666666667
4669440,train,3,2.6315789473684212
5079040,train,0,2.5
5079040,train,1,3.75
5079040,train,2,3.8461538461538463
5079040,train,3,3.4782608695652173
5505024,train,0,1.25
5505024,train,1,2.857142857142857
5505024,train,2,3.142857142857143
5505024,train,3,2.3684210526315788
5931008,train,0,2.2580645161290325
5931008,train,1,2.6470588235294117
5931008,train,2,3.9393939393939394
5931008,train,3,2.6315789473684212
6356992,train,0,4.2
6356992,train,1,2.7586206896551726
6356992,train,2,3.3333333333333335
6356992,train,3,2.272727272727273
6782976,train,0,2.3333333333333335
6782976,train,1,2.142857142857143
6782976,train,2,2.9411764705882355
6782976,train,3,2.1739130434782608
7208960,train,0,3.409090909090909
7208960,train,1,0.43478260869565216
7208960,train,2,2.857142857142857
7208960,train,3,3.125
7618560,train,0,2.3076923076923075
7618560,train,1,0.9090909090909091
7618560,train,2,2.5
7618560,train,3,2.2222222222222223
8044544,train,0,4.0625
8044544,train,1,3.0303030303030303
8044544,train,2,2.5925925925925926
8044544,train,3,2.5714285714285716
8470528,train,0,3.5714285714285716
8470528,train,1,2.6666666666666665
8470528,train,2,2.272727272727273
8470528,train,3,1.1764705882352942
8896512,train,0,3.0434782608695654
8896512,train,1,3.3333333333333335
8896512,train,2,3.7037037037037037
8896512,train,3,2.3076923076923075
9322496,train,0,2.272727272727273
9322496,train,1,1.9230769230769231
9322496,train,2,1.1538461538461537
9322496,train,3,2.6315789473684212
9748480,train,0,1.1764705882352942
9748480,train,1,1.2903225806451613
9748480,train,2,1.7857142857142858
9748480,train,3,3.6363636363636362
10158080,train,0,2.7777777777777777
10158080,train,1,4.545454545454546
10158080,train,2,1.875
10158080,train,3,1.875
10584064,train,0,2.5
10584064,train,1,3.3333333333333335
10584064,train,2,2.857142857142857
10584064,train,3,1.8181818181818181
11010048,train,0,2.142857142857143
11010048,train,1,3.3333333333333335
11010048,train,2,1.6666666666666667
11010048,train,3,3.3333333333333335
11436032,train,0,2.8
11436032,train,1,2.727272727272727
11436032,train,2,4.242424242424242
11436032,train,3,2.727272727272727
11862016,train,0,2.2222222222222223
11862016,train,1,2.413793103448276
11862016,train,2,2.380952380952381
11862016,train,3,1.25
12288000,train,0,3.1818181818181817
12288000,train,1,0.0
12288000,train,2,1.8181818181818181
12288000,train,3,4.0
12697600,train,0,1.1111111111111112
12697600,train,1,2.0
12697600,train,2,2.380952380952381
12697600,train,3,2.0
13123584,train,0,0.6666666666666666
13123584,train,1,3.125
13123584,train,2,3.9130434782608696
13123584,train,3,1.0526315789473684
13549568,train,0,1.875
13549568,train,1,1.3636363636363635
13549568,train,2,0.6666666666666666
13549568,train,3,1.8181818181818181
13975552,train,0,3.6842105263157894
13975552,train,1,2.0
13975552,train,2,3.3333333333333335
13975552,train,3,2.6666666666666665
14401536,train,0,2.9166666666666665
14401536,train,1,3.5
14401536,train,2,2.380952380952381
14401536,train,3,1.25
14827520,train,0,2.857142857142857
14827520,train,1,2.5
14827520,train,2,2.9166666666666665
14827520,train,3,4.242424242424242
15237120,train,0,2.4242424242424243
15237120,train,1,2.7027027027027026
15237120,train,2,1.8421052631578947
15237120,train,3,2.619047619047619
15663104,train,0,3.3333333333333335
15663104,train,1,2.857142857142857
15663104,train,2,2.4324324324324325
15663104,train,3,1.0256410256410255
16089088,train,0,1.25
16089088,train,1,1.3333333333333333
16089088,train,2,1.8181818181818181
16089088,train,3,2.0
16515072,train,0,3.3333333333333335
16515072,train,1,1.25
16515072,train,2,3.75
16515072,train,3,3.103448275862069
16941056,train,0,2.1739130434782608
16941056,train,1,3.7037037037037037
16941056,train,2,2.8
16941056,train,3,2.9166666666666665
17367040,train,0,1.7391304347826086
17367040,train,1,0.4
17367040,train,2,2.2222222222222223
17367040,train,3,3.103448275862069
17776640,train,0,2.5
