timestep,set,agent,score
16384,train,0,2.0
16384,train,1,4.545454545454546
16384,train,2,3.6842105263157894
16384,train,3,3.6363636363636362
425984,train,0,2.5
425984,train,1,3.0
425984,train,2,2.857142857142857
425984,train,3,3.6363636363636362
851968,train,0,5.0
851968,train,1,3.8461538461538463
851968,train,2,2.857142857142857
851968,train,3,4.705882352941177
1277952,train,0,5.517241379310345
1277952,train,1,4.705882352941177
1277952,train,2,5.0
1277952,train,3,3.8461538461538463
1703936,train,0,3.5294117647058822
1703936,train,1,3.3333333333333335
1703936,train,2,5.7894736842105265
1703936,train,3,1.6666666666666667
2129920,train,0,3.9130434782608696
2129920,train,1,3.9130434782608696
2129920,train,2,3.793103448275862
2129920,train,3,3.870967741935484
2539520,train,0,5.238095238095238
2539520,train,1,4.166666666666667
2539520,train,2,2.1052631578947367
2539520,train,3,4.375
2965504,train,0,3.75
2965504,train,1,6.521739130434782
2965504,train,2,4.0
2965504,train,3,6.25
3391488,train,0,2.6666666666666665
3391488,train,1,4.375
3391488,train,2,3.6
3391488,train,3,2.857142857142857
3817472,train,0,4.2105263157894735
3817472,train,1,4.482758620689655
3817472,train,2,5.0
3817472,train,3,4.0
4243456,train,0,4.117647058823529
4243456,train,1,5.714285714285714
4243456,train,2,6.25
4243456,train,3,6.521739130434782
4669440,train,0,4.375
4669440,train,1,1.25
4669440,train,2,5.5
4669440,train,3,1.5384615384615385
5079040,train,0,5.5
5079040,train,1,6.315789473684211
5079040,train,2,7.0
5079040,train,3,6.956521739130435
5505024,train,0,5.217391304347826
5505024,train,1,2.727272727272727
5505024,train,2,5.238095238095238
5505024,train,3,3.8461538461538463
5931008,train,0,5.666666666666667
5931008,train,1,6.578947368421052
5931008,train,2,6.5625
5931008,train,3,6.764705882352941
6356992,train,0,5.294117647058823
6356992,train,1,5.714285714285714
6356992,train,2,4.761904761904762
6356992,train,3,5.0
6782976,train,0,5.2631578947368425
6782976,train,1,5.5
6782976,train,2,6.153846153846154
6782976,train,3,6.333333333333333
7208960,train,0,6.896551724137931
7208960,train,1,5.925925925925926
7208960,train,2,4.545454545454546
7208960,train,3,4.0
7618560,train,0,7.0
7618560,train,1,6.4
7618560,train,2,6.086956521739131
7618560,train,3,5.416666666666667
8044544,train,0,4.2105263157894735
8044544,train,1,7.0588235294117645
8044544,train,2,5.172413793103448
8044544,train,3,7.5
8470528,train,0,5.5
8470528,train,1,5.7894736842105265
8470528,train,2,5.185185185185185
8470528,train,3,6.8
8896512,train,0,6.0
8896512,train,1,6.0
8896512,train,2,6.875
8896512,train,3,5.0
9322496,train,0,6.296296296296297
9322496,train,1,6.666666666666667
9322496,train,2,7.0
9322496,train,3,5.714285714285714
9748480,train,0,6.538461538461538
9748480,train,1,5.9375
9748480,train,2,8.125
9748480,train,3,6.666666666666667
10158080,train,0,3.75
10158080,train,1,5.238095238095238
10158080,train,2,6.578947368421052
10158080,train,3,4.375
10584064,train,0,6.764705882352941
10584064,train,1,4.545454545454546
10584064,train,2,7.647058823529412
10584064,train,3,6.8
11010048,train,0,4.375
11010048,train,1,7.5
11010048,train,2,7.241379310344827
11010048,train,3,5.6
11436032,train,0,8.157894736842104
11436032,train,1,6.896551724137931
11436032,train,2,5.7894736842105265
11436032,train,3,7.857142857142857
11862016,train,0,4.7368421052631575
11862016,train,1,5.454545454545454
11862016,train,2,7.037037037037037
11862016,train,3,5.416666666666667
12288000,train,0,5.0
12288000,train,1,7.5
12288000,train,2,7.428571428571429
12288000,train,3,6.363636363636363
12697600,train,0,6.785714285714286
12697600,train,1,6.428571428571429
12697600,train,2,5.454545454545454
12697600,train,3,8.0
13123584,train,0,7.647058823529412
13123584,train,1,7.5
13123584,train,2,7.6923076923076925
13123584,train,3,5.909090909090909
13549568,train,0,7.037037037037037
13549568,train,1,7.096774193548387
13549568,train,2,6.896551724137931
13549568,train,3,6.538461538461538
13975552,train,0,6.923076923076923
13975552,train,1,7.777777777777778
13975552,train,2,7.647058823529412
13975552,train,3,7.222222222222222
14401536,train,0,6.666666666666667
14401536,train,1,7.5
14401536,train,2,5.0
14401536,train,3,5.294117647058823
14827520,train,0,8.0
14827520,train,1,6.206896551724138
14827520,train,2,7.083333333333333
14827520,train,3,7.575757575757576
15237120,train,0,7.777777777777778
15237120,train,1,7.377049180327869
15237120,train,2,7.948717948717949
15237120,train,3,7.428571428571429
15663104,train,0,7.419354838709677
15663104,train,1,7.045454545454546
15663104,train,2,8.0
15663104,train,3,6.896551724137931
16089088,train,0,9.0
16089088,train,1,7.2727272727272725
16089088,train,2,5.833333333333333
16089088,train,3,7.2727272727272725
16515072,train,0,7.3076923076923075
16515072,train,1,8.064516129032258
16515072,train,2,8.0
16515072,train,3,5.0
16941056,train,0,7.857142857142857
16941056,train,1,6.785714285714286
16941056,train,2,7.5
16941056,train,3,7.857142857142857
17367040,train,0,8.292682926829269
17367040,train,1,6.0
17367040,train,2,5.5
17367040,train,3,7.884615384615385
17776640,train,0,7.916666666666667
17776640,train,1,7.391304347826087
17776640,train,2,8.5
17776640,train,3,7.826086956521739
18202624,train,0,6.451612903225806
18202624,train,1,7.777777777777778
18202624,train,2,6.296296296296297
18202624,train,3,7.037037037037037
18628608,train,0,7.777777777777778
18628608,train,1,7.586206896551724
18628608,train,2,8.214285714285714
18628608,train,3,7.826086956521739
19054592,train,0,6.774193548387097
19054592,train,1,6.956521739130435
19054592,train,2,7.2727272727272725
19054592,train,3,5.0
19480576,train,0,5.0
19480576,train,1,7.096774193548387
19480576,train,2,7.037037037037037
19480576,train,3,6.8
19906560,train,0,7.575757575757576
19906560,train,1,7.142857142857143
19906560,train,2,8.26086956521739
19906560,train,3,7.857142857142857
20316160,train,0,7.741935483870968
20316160,train,1,7.777777777777778
20316160,train,2,7.777777777777778
20316160,train,3,7.083333333333333
20742144,train,0,8.0
20742144,train,1,7.837837837837838
20742144,train,2,7.333333333333333
20742144,train,3,7.878787878787879
21168128,train,0,7.9411764705882355
21168128,train,1,7.8125
21168128,train,2,6.551724137931035
21168128,train,3,7.5
21594112,train,0,8.0
21594112,train,1,8.064516129032258
21594112,train,2,8.541666666666666
21594112,train,3,8.0
22020096,train,0,8.076923076923077
22020096,train,1,8.26086956521739
22020096,train,2,7.2727272727272725
22020096,train,3,7.894736842105263
22446080,train,0,8.444444444444445
22446080,train,1,8.695652173913043
22446080,train,2,6.785714285714286
22446080,train,3,7.837837837837838
22855680,train,0,6.551724137931035
22855680,train,1,6.818181818181818
22855680,train,2,8.529411764705882
22855680,train,3,8.0
23281664,train,0,8.205128205128204
23281664,train,1,8.666666666666666
23281664,train,2,7.5
23281664,train,3,8.333333333333334
23707648,train,0,5.9375
23707648,train,1,8.0
23707648,train,2,6.551724137931035
23707648,train,3,6.8
24133632,train,0,7.586206896551724
24133632,train,1,6.538461538461538
24133632,train,2,6.0606060606060606
24133632,train,3,7.916666666666667
24559616,train,0,5.384615384615385
24559616,train,1,8.0
24559616,train,2,7.857142857142857
24559616,train,3,7.8125
24985600,train,0,6.315789473684211
24985600,train,1,7.647058823529412
24985600,train,2,7.666666666666667
24985600,train,3,7.142857142857143
16384,test,0,3.6842105263157894
16384,test,1,1.6666666666666667
16384,test,2,3.1578947368421053
16384,test,3,1.5789473684210527
425984,test,0,3.6363636363636362
425984,test,1,2.962962962962963
425984,test,2,0.0
425984,test,3,2.5
851968,test,0,3.4615384615384617
851968,test,1,4.285714285714286
851968,test,2,3.0
851968,test,3,3.1578947368421053
1277952,test,0,2.3076923076923075
