timestep,set,agent,score
16384,train,0,1.3529411764705883
16384,train,1,2.22
16384,train,2,1.8846153846153846
16384,train,3,1.934782608695652
425984,train,0,4.395348837209302
425984,train,1,3.5853658536585367
425984,train,2,4.4
425984,train,3,3.5454545454545454
851968,train,0,7.6875
851968,train,1,7.838709677419355
851968,train,2,8.6
851968,train,3,7.53125
1277952,train,0,11.038461538461538
1277952,train,1,10.857142857142858
1277952,train,2,11.384615384615385
1277952,train,3,11.076923076923077
1703936,train,0,23.25
1703936,train,1,18.473684210526315
1703936,train,2,14.173913043478262
1703936,train,3,16.894736842105264
2129920,train,0,21.176470588235293
2129920,train,1,20.38888888888889
2129920,train,2,37.18181818181818
2129920,train,3,20.0
2539520,train,0,21.9375
2539520,train,1,18.333333333333332
2539520,train,2,23.2
2539520,train,3,23.125
2965504,train,0,20.055555555555557
2965504,train,1,19.11111111111111
2965504,train,2,26.071428571428573
2965504,train,3,18.944444444444443
3391488,train,0,25.133333333333333
3391488,train,1,25.857142857142858
3391488,train,2,23.0
3391488,train,3,21.352941176470587
3817472,train,0,25.357142857142858
3817472,train,1,24.428571428571427
3817472,train,2,40.6
3817472,train,3,18.72222222222222
4243456,train,0,31.666666666666668
4243456,train,1,21.0
4243456,train,2,27.642857142857142
4243456,train,3,26.615384615384617
4669440,train,0,32.61538461538461
4669440,train,1,24.4
4669440,train,2,22.58823529411765
4669440,train,3,17.666666666666668
5079040,train,0,27.785714285714285
5079040,train,1,24.125
5079040,train,2,20.58823529411765
5079040,train,3,19.529411764705884
5505024,train,0,20.235294117647058
5505024,train,1,20.352941176470587
5505024,train,2,29.53846153846154
5505024,train,3,25.53846153846154
5931008,train,0,32.54545454545455
5931008,train,1,21.5
5931008,train,2,24.133333333333333
5931008,train,3,31.0
6356992,train,0,38.6
6356992,train,1,27.384615384615383
6356992,train,2,33.75
6356992,train,3,36.09090909090909
6782976,train,0,26.733333333333334
6782976,train,1,32.333333333333336
6782976,train,2,22.5
6782976,train,3,27.785714285714285
7208960,train,0,40.8
7208960,train,1,29.615384615384617
7208960,train,2,26.0
7208960,train,3,28.714285714285715
7618560,train,0,39.0
7618560,train,1,29.0
7618560,train,2,30.0
7618560,train,3,21.352941176470587
8044544,train,0,24.5
8044544,train,1,41.2
8044544,train,2,27.642857142857142
8044544,train,3,25.133333333333333
8470528,train,0,27.615384615384617
8470528,train,1,22.4375
8470528,train,2,26.53846153846154
8470528,train,3,27.5
8896512,train,0,29.384615384615383
8896512,train,1,26.785714285714285
8896512,train,2,33.666666666666664
8896512,train,3,37.63636363636363
9322496,train,0,46.666666666666664
9322496,train,1,29.46153846153846
9322496,train,2,28.416666666666668
9322496,train,3,25.307692307692307
9748480,train,0,33.166666666666664
9748480,train,1,30.692307692307693
9748480,train,2,29.846153846153847
9748480,train,3,26.933333333333334
10158080,train,0,26.785714285714285
10158080,train,1,34.90909090909091
10158080,train,2,28.76923076923077
10158080,train,3,46.666666666666664
10584064,train,0,23.5625
10584064,train,1,39.54545454545455
10584064,train,2,32.0
10584064,train,3,33.46153846153846
11010048,train,0,25.5
11010048,train,1,48.44444444444444
11010048,train,2,28.76923076923077
11010048,train,3,38.3
11436032,train,0,21.470588235294116
11436032,train,1,35.75
11436032,train,2,39.6
11436032,train,3,27.285714285714285
11862016,train,0,32.30769230769231
11862016,train,1,32.833333333333336
11862016,train,2,27.4
11862016,train,3,32.81818181818182
12288000,train,0,38.72727272727273
12288000,train,1,29.846153846153847
12288000,train,2,30.583333333333332
12288000,train,3,18.294117647058822
12697600,train,0,38.81818181818182
12697600,train,1,30.23076923076923
12697600,train,2,27.357142857142858
12697600,train,3,25.642857142857142
13123584,train,0,29.384615384615383
13123584,train,1,33.083333333333336
13123584,train,2,32.166666666666664
